陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-01,",0,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-07,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-08,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-13,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-14,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-15,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-21,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-22,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-27,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-28,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-29,",10000,40000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-07,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-08,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-13,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-14,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-15,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-21,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-22,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-27,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-28,",60000,90000,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍裝訓部,實彈射擊,射擊通報,"2021-04-29,",60000,s,WGS84,,"[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-07,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-08,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-14,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-15,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-22,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-27,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-28,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-29,",10000,40000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-07,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-08,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-14,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-15,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-22,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-27,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-28,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍北測中心,實彈射擊,射擊通報,"2021-04-29,",60000,90000,WGS84,,"[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,陸軍砲訓部,實彈射擊,射擊通報,"2021-04-27,",0,50000,WGS84,,"[120.33333333,22.98333333]",3000呎,(06)2310074
陸軍靶區實彈射擊,陸軍砲訓部,實彈射擊,射擊通報,"2021-04-28,",0,50000,WGS84,,"[120.33333333,22.98333333]",3000呎,(06)2310074
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-08,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-13,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-21,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-08,",11000,13000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-13,",11000,13000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-21,",11000,13000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-09,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-14,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-20,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,陸軍砲測中心,實彈射擊,射擊通報,"2021-04-22,",0,40000,WGS84,,"[120.55,23.8]",3000呎,(05)5571700
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-01,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-07,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-14,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-16,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-20,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-22,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-28,",90000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-26,",140000,180000,WGS84,,"〔118.4555,24.4236〕","1,300呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-13,",53000,73000,WGS84,,"〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-14,",53000,73000,WGS84,,"〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-27,",53000,73000,WGS84,,"〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,金防部,實彈射擊,射擊通報,"2021-04-28,",53000,73000,WGS84,,"〔118.245,24.3919〕","2,000呎",(082)330693
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-20,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-21,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-22,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-23,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-24, (預備日) ",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-27,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-28,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-04-29, (預備日)",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-05-04,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-05-05,",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021-05-06, (預備日)",50000,80000,WGS84,,"〔119.5800,25.5900〕","3,000呎",(0836)26697
陸軍對海射擊,馬防部,實彈射擊,射擊通報,"2021/5/19,",160000,210000,WGS84,,"〔119.550610,26.081330〕","3,000呎",(0836)26697
五德火砲射擊訓練場實彈射擊,陸軍司令部   澎防部,實彈射擊,射擊通報,"2021-04-21,",50000,70000,WGS84,,"[119.57528 ,23.493056]","5,000呎",(06)9260157
五德火砲射擊訓練場實彈射擊,陸軍司令部   澎防部,實彈射擊,射擊通報,"2021-04-22,",50000,70000,WGS84,,"[119.57528 ,23.493056]","5,000呎",(06)9260157
陸軍對海射擊,東引指揮部,實彈射擊,射擊通報,"2021-05-18,",190000,210000,WGS84,,"[26.39333, 120.48361]","6,000呎",(0836)77176
陸軍對海射擊,東引指揮部,實彈射擊,射擊通報,"2021-05-19,",190000,210000,WGS84,,"[26.39333, 120.48361]","6,000呎",(0836)77176
陸軍對海射擊,東引指揮部,實彈射擊,射擊通報,"2021-05-20,",190000,210000,WGS84,,"[26.39333, 120.48361]","6,000呎",(0836)77176