地區,年分,房,廳,衛,室,車位,樓層,總樓層,房價(萬),海拔
大安區,39.1,3.0,2.0,2.0,0.0,0,5,12,4200.0,5.206
北投區,23.0,3.0,2.0,2.0,0.0,1,19,19,2850.0,17.618
北投區,12.3,1.0,1.0,1.0,0.0,0,4,13,498.0,79.326
大安區,43.4,2.0,1.0,0.0,0.0,0,12,12,3218.0,6.326
北投區,34.7,2.0,2.0,1.0,0.0,0,-1,7,598.0,148.535
大安區,39.3,4.0,2.0,2.0,0.0,0,3,7,3590.0,6.418
北投區,11.9,3.0,2.0,2.0,1.0,1,7,12,6600.0,134.582
大安區,45.8,0.0,1.0,1.0,0.0,0,7,12,2388.0,5.084
大安區,40.1,3.0,2.0,2.0,0.0,0,2,7,2988.0,5.488
大安區,37.0,3.0,2.0,2.0,0.0,0,3,5,2900.0,9.118
大安區,42.0,3.0,2.0,2.0,0.0,0,2,7,5888.0,4.108
大安區,12.7,3.0,2.0,2.0,0.0,1,11,14,9580.0,4.949
大安區,39.3,0.0,1.0,1.0,0.0,0,1,7,2320.0,6.418
大安區,8.1,3.0,2.0,3.0,0.0,1,4,11,11888.0,6.29
北投區,13.5,3.0,2.0,2.0,0.0,1,5,12,2580.0,29.803
北投區,36.7,3.0,2.0,1.0,0.0,0,5,7,1580.0,40.188
大安區,2.4,4.0,2.0,2.0,0.0,1,8,15,8150.0,6.326
大安區,34.9,2.0,2.0,2.0,0.0,0,2,16,3988.0,6.326
大安區,0.7,3.0,2.0,2.0,0.0,1,13,23,9980.0,3.77
大安區,37.5,4.0,2.0,2.0,0.0,1,3,7,9680.0,4.108
大安區,37.5,4.0,2.0,2.0,0.0,1,3,7,9680.0,4.108
大安區,39.4,1.0,1.0,1.0,0.0,0,9,11,768.0,4.658
大安區,32.6,2.0,2.0,1.0,1.0,0,12,16,3788.0,4.316
大安區,40.5,3.0,2.0,2.0,0.0,0,1,7,12000.0,4.316
大安區,60.1,5.0,0.0,1.0,0.0,0,1,3,7500.0,5.305
大安區,48.1,1.0,1.0,1.0,0.0,0,9,12,1898.0,3.77
大安區,19.5,3.0,2.0,2.0,0.0,1,12,14,7200.0,4.316
大安區,43.4,2.0,2.0,1.0,0.0,1,6,12,2688.0,6.326
大安區,31.8,4.0,2.0,2.0,1.0,1,14,25,7880.0,5.206
北投區,3.8,2.0,2.0,3.0,1.0,1,21,24,5188.0,14.557
大安區,44.9,4.0,2.0,2.0,1.0,0,2,6,4580.0,5.059
北投區,6.7,3.0,2.0,2.0,0.0,1,4,12,2380.0,6.986
大安區,37.6,3.0,2.0,2.0,0.0,0,6,7,5250.0,3.77
北投區,10.6,4.0,2.0,2.0,0.0,1,7,7,3960.0,74.101
大安區,2.4,3.0,2.0,2.0,0.0,1,14,15,8888.0,6.326
大安區,42.5,3.0,2.0,2.0,0.0,0,3,8,3888.0,4.108
大安區,14.2,3.0,2.0,3.0,0.0,1,4,6,7688.0,5.66
北投區,41.6,3.0,2.0,2.0,1.0,0,4,4,2050.0,5.465
大安區,13.1,4.0,2.0,3.0,1.0,1,3,9,19800.0,7.076
大安區,33.9,3.0,2.0,2.0,0.0,0,12,18,6318.0,6.163
大安區,7.4,2.0,2.0,1.0,0.0,1,3,9,5188.0,5.305
北投區,7.6,3.0,2.0,2.0,0.0,1,10,14,4380.0,0.864
北投區,5.8,3.0,2.0,2.0,0.0,1,12,14,3980.0,14.677
大安區,37.0,2.0,2.0,1.0,0.0,0,3,12,3380.0,6.257
北投區,43.1,3.0,2.0,1.0,0.0,1,1,4,3290.0,134.561
北投區,8.2,2.0,2.0,1.0,1.0,1,3,5,2980.0,134.561
北投區,36.1,3.0,2.0,2.0,0.0,0,4,5,1368.0,44.181
大安區,49.1,4.0,2.0,2.5,2.5,0,4,6,5500.0,5.084
北投區,37.0,3.0,2.0,2.0,0.0,0,6,7,2998.0,17.83
大安區,24.9,1.0,1.0,1.0,0.0,0,5,7,1138.0,4.316
北投區,13.8,4.0,2.0,2.0,0.0,1,5,7,3800.0,40.188
北投區,36.4,4.0,3.0,4.0,1.0,1,4,11,2550.0,148.845
大安區,44.1,5.0,1.0,1.0,0.0,0,5,12,4310.0,5.084
大安區,10.4,2.0,2.0,2.0,1.0,1,5,7,11438.0,5.305
大安區,24.3,2.0,1.0,1.5,1.5,1,4,6,2698.0,8.759
北投區,4.8,2.0,2.0,1.0,0.0,1,3,5,1980.0,33.607
北投區,36.6,3.0,2.0,2.0,0.0,0,5,7,1380.0,74.117
北投區,8.6,0.0,1.0,1.0,0.0,1,1,5,935.0,36.353
大安區,44.2,3.0,2.0,2.0,0.0,0,10,12,7980.0,5.51
大安區,46.6,3.0,2.0,2.0,0.0,0,4,4,2998.0,5.756
大安區,8.4,3.0,2.0,3.0,2.0,1,3,11,11888.0,6.137
北投區,38.4,4.0,2.0,2.0,0.0,0,4,5,2480.0,3.188
大安區,40.5,3.0,2.0,2.0,0.0,0,4,5,3288.0,7.35
北投區,39.3,2.0,2.0,1.0,0.0,0,3,6,1280.0,74.101
北投區,34.9,4.0,2.0,2.0,0.0,0,5,5,1480.0,44.001
大安區,0.7,3.0,2.0,2.0,0.0,1,7,23,10388.0,3.77
大安區,36.1,3.0,2.0,1.0,0.0,0,1,17,2680.0,8.36
大安區,0.7,3.0,2.0,2.0,0.0,1,12,23,12500.0,3.77
北投區,8.8,4.0,2.0,4.0,1.0,1,17,27,11000.0,1.407
北投區,2.7,2.0,2.0,1.0,0.0,1,2,7,2200.0,5.377
北投區,39.3,2.0,2.0,1.0,0.0,1,4,6,1530.0,74.101
北投區,14.5,2.0,2.0,1.0,0.0,1,3,14,5250.0,0.779
大安區,0.7,3.0,2.0,2.0,0.0,1,5,23,10538.0,3.77
大安區,8.4,4.0,2.0,3.0,0.0,0,18,19,15930.0,7.35
大安區,9.4,4.0,2.0,3.5,3.5,1,12,14,16900.0,5.992
大安區,36.1,3.0,2.0,2.0,0.0,0,17,19,3980.0,6.163
北投區,7.0,4.0,2.0,2.0,0.0,1,19,27,5280.0,14.557
大安區,6.4,4.0,2.0,4.5,4.5,1,33,38,39800.0,5.66
北投區,4.3,3.0,2.0,2.0,0.0,0,2,25,4688.0,0.779
大安區,9.6,4.0,2.0,3.0,0.0,1,13,15,14300.0,5.305
大安區,12.9,1.0,2.0,1.0,0.0,1,8,14,3100.0,5.059
大安區,19.5,5.0,2.0,4.0,1.0,1,7,13,16888.0,5.305
大安區,12.9,1.0,1.0,1.0,0.0,0,14,14,3180.0,5.059
大安區,8.6,3.0,2.0,3.5,3.5,1,4,13,15500.0,5.51
北投區,7.1,3.0,2.0,2.0,1.0,1,7,13,5200.0,0.781
北投區,23.0,4.0,2.0,2.0,0.0,0,9,19,2080.0,17.618
北投區,13.8,2.0,2.0,2.0,0.0,1,4,7,2480.0,40.188
北投區,11.9,4.0,2.0,2.0,0.0,1,3,15,4368.0,3.014
大安區,47.0,3.0,2.0,2.0,0.0,0,2,7,4280.0,5.084
大安區,41.3,4.0,2.0,2.0,0.0,0,4,6,3980.0,4.316
大安區,14.9,3.0,2.0,2.0,0.0,1,4,14,8300.0,6.163
北投區,11.4,1.0,2.0,1.0,1.0,1,8,11,1750.0,14.557
大安區,33.1,3.0,2.0,2.5,2.5,1,3,14,12380.0,5.51
北投區,45.5,3.0,2.0,2.0,1.0,0,1,4,1488.0,148.535
大安區,8.1,4.0,2.0,3.0,0.0,1,5,11,13990.0,6.29
大安區,6.7,3.0,2.0,3.0,0.0,1,8,16,12588.0,7.363
大安區,6.1,3.0,2.0,2.0,1.0,1,9,12,7800.0,6.326
大安區,36.4,4.0,2.0,2.0,1.0,0,2,5,3480.0,5.51
北投區,45.9,6.0,2.0,2.0,0.0,0,3,4,1399.0,44.001
大安區,36.6,3.0,2.0,2.0,1.0,1,10,14,9028.0,3.77
大安區,40.2,2.0,2.0,1.0,0.0,0,2,5,2550.0,6.418
北投區,8.6,0.0,1.0,1.0,0.0,1,1,5,980.0,35.368
北投區,20.6,3.0,2.0,2.0,0.0,1,4,16,2100.0,134.582
大安區,44.4,4.0,2.0,2.0,0.0,0,3,7,6998.0,4.108
大安區,43.6,3.0,2.0,2.0,1.0,0,3,7,5088.0,5.51
北投區,36.4,4.0,2.0,2.0,0.0,0,6,7,2388.0,134.582
大安區,4.4,0.0,1.0,0.0,0.0,1,13,14,10280.0,3.891
大安區,44.6,2.0,1.0,1.0,0.0,0,6,12,1980.0,3.803
北投區,27.2,2.0,1.0,1.0,0.0,1,2,6,1980.0,2.784
北投區,13.5,3.0,2.0,2.0,0.0,1,10,29,3298.0,14.557
大安區,43.9,2.0,2.0,1.0,0.0,0,4,12,3088.0,4.316
大安區,14.1,3.0,2.0,2.0,0.0,1,4,7,7988.0,2.801
大安區,39.1,3.0,2.0,2.0,0.0,0,5,10,4280.0,4.108
大安區,14.2,1.0,1.0,1.0,0.0,1,6,14,2480.0,3.891
大安區,44.5,3.0,2.0,2.0,0.0,0,3,7,3520.0,6.163
大安區,3.1,0.0,1.0,0.0,0.0,0,4,14,2788.0,3.803
北投區,35.2,3.0,2.0,1.5,1.5,0,7,7,1680.0,8.74
大安區,32.9,4.0,2.0,2.0,1.0,1,5,12,7500.0,5.66
大安區,43.9,3.0,2.0,2.0,0.0,0,11,12,5788.0,5.084
大安區,42.6,3.0,2.0,2.0,0.0,0,12,14,4970.0,5.99
大安區,8.4,4.0,2.0,3.0,1.0,1,17,19,13910.0,7.35
北投區,6.2,4.0,2.0,2.0,0.0,1,10,14,6888.0,7.417
大安區,39.5,2.0,2.0,2.0,0.0,1,3,7,2950.0,5.992
大安區,40.4,3.0,2.0,2.0,0.0,0,6,7,3728.0,6.418
大安區,33.4,3.0,2.0,2.0,0.0,0,9,22,4688.0,5.99
大安區,25.8,1.0,1.0,1.0,0.0,0,7,11,1380.0,6.326
大安區,36.5,3.0,3.0,2.0,0.0,0,5,5,3688.0,5.206
北投區,39.5,3.0,2.0,2.0,0.0,0,2,4,1266.0,84.617
大安區,43.8,4.0,2.0,2.0,0.0,0,4,12,5188.0,4.876
大安區,33.0,2.0,2.0,2.0,0.0,0,1,5,5416.0,9.118
大安區,44.3,1.0,2.0,2.0,1.0,0,-1,7,5998.0,3.891
大安區,14.2,1.0,1.0,1.0,0.0,0,3,14,1750.0,3.891
大安區,4.9,3.0,2.0,2.0,1.0,1,20,25,9280.0,7.35
大安區,10.1,1.0,2.0,1.0,0.0,1,2,12,3280.0,5.305
北投區,51.2,2.0,2.0,1.0,0.0,0,2,4,1680.0,44.001
大安區,9.0,0.0,1.0,1.0,1.0,0,1,14,9888.0,5.059
大安區,44.1,4.0,2.0,2.5,2.5,0,2,7,7000.0,3.77
大安區,44.6,2.0,2.0,1.0,0.0,0,14,14,2190.0,5.084
大安區,37.8,3.0,2.0,2.0,1.0,0,4,14,5696.0,5.51
大安區,49.5,3.0,2.0,2.0,0.0,0,4,4,2580.0,5.488
大安區,0.7,3.0,2.0,2.0,0.0,1,5,23,12388.0,3.77
大安區,9.0,3.0,2.0,3.0,2.0,1,6,14,12168.0,5.059
北投區,-1,3.0,2.0,2.0,0.0,0,2,15,3618.0,2.666
大安區,46.8,0.0,1.0,1.0,0.0,0,1,7,9800.0,5.305
大安區,45.3,5.0,2.0,2.0,0.0,0,6,7,5688.0,5.084
大安區,9.4,7.0,4.0,7.0,2.0,1,12,14,33800.0,5.992
北投區,2.7,2.0,2.0,1.0,0.0,1,4,7,2916.0,5.377
北投區,3.8,2.0,2.0,2.0,0.0,1,9,24,3280.0,14.557
北投區,36.5,3.0,2.0,2.0,0.0,0,4,5,1350.0,134.582
大安區,12.3,4.0,2.0,3.0,1.0,1,2,13,14288.0,5.992
大安區,44.5,4.0,3.0,3.0,1.0,0,3,7,5888.0,3.77
大安區,44.5,4.0,3.0,3.0,1.0,1,3,7,6338.0,3.77
大安區,6.8,1.0,1.0,1.0,0.0,0,5,7,1563.0,3.891
北投區,9.1,4.0,2.0,2.0,0.0,1,4,7,3988.0,24.489
北投區,3.8,1.0,1.0,2.0,0.0,0,10,24,1750.0,14.557
北投區,6.4,2.0,2.0,2.0,0.0,1,3,5,2580.0,5.377
大安區,44.4,2.0,1.0,1.0,1.0,0,3,12,2170.0,4.316
大安區,42.5,3.0,2.0,2.0,0.0,0,9,12,3000.0,6.163
大安區,31.4,4.0,2.0,2.0,0.0,1,14,17,6780.0,5.206
北投區,4.7,1.0,2.0,2.0,1.0,1,8,9,6280.0,4.159
北投區,10.5,3.0,2.0,3.0,0.0,1,2,7,4998.0,14.697
大安區,35.6,3.0,2.0,3.0,0.0,0,12,12,4588.0,5.99
大安區,41.4,4.0,2.0,2.0,0.0,0,7,7,5380.0,5.059
大安區,7.4,3.0,2.0,2.0,0.0,1,2,9,8500.0,5.305
大安區,8.4,3.0,2.0,2.0,0.0,1,8,12,7500.0,3.891
大安區,42.5,1.0,2.0,1.5,1.5,0,12,12,3300.0,6.163
大安區,34.5,4.0,2.0,2.0,1.0,0,2,7,5800.0,6.873
北投區,36.5,4.0,2.0,3.0,0.0,1,6,7,3800.0,40.188
大安區,39.4,0.0,2.0,3.0,3.0,0,2,16,4500.0,4.316
北投區,23.8,3.0,2.0,2.0,0.0,1,8,11,2850.0,42.276
北投區,23.8,4.0,2.0,2.0,0.0,1,9,11,3758.0,42.276
北投區,16.4,2.0,2.0,1.0,1.0,1,3,6,2080.0,2.353
大安區,24.9,1.0,1.0,1.0,0.0,0,3,16,1050.0,4.316
大安區,41.7,3.0,2.0,2.0,0.0,0,3,7,5280.0,4.876
大安區,21.6,1.0,1.0,1.0,0.0,0,2,8,1680.0,2.801
大安區,45.5,4.0,2.0,1.0,1.0,0,12,12,4550.0,4.316
大安區,43.5,1.0,1.0,1.0,0.0,0,9,14,1550.0,5.51
大安區,48.5,7.0,2.0,3.0,1.0,1,4,6,12000.0,5.51
大安區,42.7,5.0,2.0,2.0,0.0,0,6,7,4900.0,5.084
北投區,9.1,4.0,2.0,2.0,0.0,1,2,7,3988.0,24.489
北投區,6.4,2.0,2.0,2.0,0.0,1,3,5,2200.0,5.377
北投區,43.6,5.0,1.0,1.0,0.0,0,1,4,3580.0,4.67
大安區,50.8,5.0,2.0,3.0,1.0,0,3,7,4168.0,6.466
大安區,33.9,1.0,1.0,1.0,0.0,0,4,10,1388.0,3.77
大安區,6.1,1.0,1.0,1.0,0.0,1,2,7,1850.0,5.992
大安區,39.9,2.0,1.0,2.0,1.0,0,12,12,2560.0,6.466
北投區,9.1,4.0,2.0,2.0,0.0,1,5,7,4088.0,24.489
北投區,37.1,3.0,2.0,2.0,0.0,0,5,5,1380.0,17.618
北投區,5.9,3.0,2.0,2.0,0.0,1,6,9,3580.0,4.159
北投區,3.5,2.0,2.0,1.0,0.0,1,4,5,1980.0,242.77
大安區,0.8,1.0,1.0,1.0,0.0,0,15,15,1608.0,6.326
大安區,47.6,4.0,2.0,3.0,0.0,0,7,7,12500.0,4.108
大安區,38.5,1.0,1.0,1.0,0.0,0,7,11,1480.0,5.084
大安區,36.1,3.0,2.0,1.0,0.0,0,1,15,2680.0,8.36
北投區,-1,3.0,2.0,2.0,0.0,0,15,15,2125.0,2.666
北投區,-1,3.0,2.0,2.0,0.0,0,15,15,2299.0,2.666
北投區,45.6,3.0,2.0,1.0,0.0,0,4,4,1120.0,17.618
大安區,26.9,0.0,1.0,1.0,0.0,0,4,7,1288.0,6.257
大安區,0.8,1.0,2.0,1.0,0.0,0,11,15,2458.0,6.326
北投區,43.4,2.0,2.0,2.0,0.0,0,1,10,1680.0,320.275
大安區,41.0,0.0,1.0,2.0,2.0,0,1,7,12888.0,2.801
大安區,44.6,4.0,2.0,2.0,0.0,1,3,4,4480.0,5.992
大安區,42.0,2.0,1.0,1.0,0.0,0,14,14,1920.0,5.084
大安區,24.1,2.0,2.0,3.0,0.0,1,3,8,17580.0,2.801
大安區,41.1,2.0,2.0,1.0,1.0,0,7,7,2280.0,5.084
北投區,9.8,5.0,2.0,4.0,0.0,1,3,5,5988.0,134.582
大安區,46.3,3.0,2.0,1.0,0.0,0,4,4,1998.0,4.658
北投區,46.1,3.0,2.0,1.0,0.0,0,2,4,1380.0,17.618
大安區,41.0,3.0,2.0,2.0,0.0,1,5,7,4988.0,4.876
北投區,43.4,1.0,1.0,1.0,0.0,0,12,12,838.0,14.557
大安區,44.1,2.0,2.0,1.0,0.0,0,7,14,2368.0,5.305
大安區,39.4,1.0,1.0,1.0,0.0,0,6,11,1300.0,4.658
大安區,41.0,3.0,2.0,2.0,2.0,0,5,7,11800.0,2.801
大安區,6.1,2.0,1.0,1.0,0.0,0,6,7,1988.0,5.992
大安區,39.4,1.0,1.0,1.0,0.0,0,9,11,880.0,4.658
北投區,36.3,3.0,2.0,2.0,0.0,0,2,7,1560.0,40.188
北投區,5.3,1.0,1.0,1.0,0.0,1,2,7,1250.0,17.618
大安區,24.9,2.0,1.0,2.0,0.0,1,4,9,3600.0,3.77
大安區,44.2,5.0,2.0,3.0,0.0,0,3,12,5368.0,4.876
大安區,0.8,1.0,2.0,1.0,0.0,1,2,15,2455.0,6.326
大安區,45.6,1.0,2.0,1.0,1.0,0,3,7,2350.0,5.084
大安區,39.7,2.0,2.0,1.0,1.0,0,2,12,3200.0,3.891
大安區,31.9,3.0,2.0,2.0,0.0,0,4,5,3150.0,5.206
大安區,0.7,3.0,2.0,2.0,0.0,1,11,23,9988.0,3.77
大安區,38.5,0.0,1.0,1.0,0.0,0,5,11,2680.0,5.084
大安區,36.6,4.0,2.0,2.0,0.0,0,6,6,4150.0,5.992
大安區,57.9,3.0,2.0,1.0,0.0,0,3,4,3088.0,3.77
大安區,36.6,2.0,2.0,2.0,0.0,1,14,14,7513.0,3.77
大安區,12.8,0.0,3.0,2.0,0.0,1,3,14,4898.0,3.891
大安區,38.9,3.0,2.0,2.0,0.0,0,2,5,3890.0,3.803
大安區,44.2,3.0,2.0,2.0,1.0,0,11,12,6388.0,4.876
北投區,45.4,3.0,2.0,1.0,1.0,0,2,4,1480.0,2.353
北投區,42.3,3.0,2.0,2.0,0.0,0,4,4,1550.0,1.42
大安區,38.8,4.0,2.0,2.0,0.0,0,6,7,3528.0,6.793
大安區,29.3,4.0,2.0,2.0,0.0,1,4,6,5980.0,9.118
大安區,45.1,3.0,2.0,0.0,0.0,0,2,4,2180.0,6.418
北投區,25.6,2.0,1.0,1.5,1.5,0,1,5,1580.0,4.851
大安區,14.2,1.0,1.0,1.0,0.0,0,12,14,1996.0,3.891
大安區,14.2,1.0,1.0,1.0,0.0,1,12,14,2116.0,3.891
北投區,40.9,4.0,2.0,2.0,0.0,0,2,5,1888.0,17.618
大安區,44.7,2.0,2.0,2.0,1.0,0,4,4,2988.0,5.992
北投區,6.7,3.0,2.0,2.0,0.0,1,6,12,2980.0,6.986
大安區,52.9,3.0,2.0,2.0,1.0,0,4,4,3508.0,4.108
北投區,43.7,2.0,2.0,1.0,0.0,0,4,7,1068.0,44.001
大安區,33.6,2.0,2.0,2.0,1.0,0,4,5,2498.0,7.251
大安區,30.7,3.0,2.0,2.0,1.0,0,13,26,5306.0,6.085
北投區,40.2,3.0,2.0,1.0,0.0,0,4,4,950.0,38.554
北投區,11.8,1.0,1.0,1.5,1.5,1,2,19,1280.0,14.557
大安區,12.3,1.0,1.0,1.0,0.0,0,4,13,820.0,5.305
北投區,13.2,1.0,1.0,1.0,0.0,1,2,11,1280.0,1.268
大安區,38.5,0.0,1.0,1.0,3.0,0,1,7,9999.0,2.801
北投區,40.4,3.0,2.0,2.0,0.0,0,5,5,1298.0,6.986
北投區,6.5,4.0,2.0,2.0,0.0,1,4,9,5980.0,4.159
北投區,6.5,4.0,2.0,2.0,0.0,1,5,9,6980.0,4.159
北投區,18.4,1.0,1.0,1.0,1.0,0,9,25,1488.0,40.102
北投區,5.0,3.0,2.0,2.0,1.0,1,3,15,6140.0,14.697
大安區,0.7,3.0,2.0,2.0,0.0,1,13,23,10500.0,3.77
北投區,5.6,3.0,2.0,3.0,0.0,1,6,9,6555.0,4.159
北投區,41.7,3.0,1.0,1.0,0.0,0,1,4,1280.0,2.56
大安區,39.7,2.0,2.0,1.0,0.0,0,12,12,1680.0,3.891
大安區,27.6,3.0,1.0,2.0,0.0,1,2,8,3750.0,5.084
大安區,25.9,2.0,2.0,2.0,0.0,1,4,5,4388.0,9.118
北投區,36.7,3.0,2.0,2.0,0.0,0,7,7,1738.0,40.188
大安區,46.3,0.0,2.0,2.0,0.0,0,1,4,16800.0,5.305
大安區,36.1,0.0,1.0,0.0,0.0,0,2,19,888.0,6.29
北投區,36.8,4.0,2.0,2.0,0.0,0,5,5,1980.0,2.784
大安區,44.8,4.0,2.0,2.0,0.0,0,4,4,2688.0,6.466
大安區,42.6,3.0,2.0,2.0,0.0,0,4,14,4888.0,5.99
北投區,5.3,1.0,1.0,1.0,0.0,0,7,7,1120.0,17.618
大安區,26.4,2.0,1.0,2.0,0.0,0,3,3,1750.0,6.418
大安區,8.5,0.0,1.0,1.0,0.0,0,2,14,7500.0,5.059
北投區,13.4,3.0,2.0,2.0,0.0,1,8,14,3300.0,47.625
大安區,41.0,3.0,2.0,2.0,0.0,0,4,12,4488.0,5.305
大安區,34.0,3.0,2.0,2.0,0.0,0,4,13,5950.0,5.084
大安區,41.1,1.0,0.0,1.0,0.0,0,6,9,1338.0,5.084
北投區,8.8,3.0,2.0,2.0,2.0,1,2,8,7988.0,17.841
大安區,21.5,0.0,1.0,2.0,1.0,1,1,9,7888.0,4.108
北投區,5.0,0.0,2.0,2.0,0.0,1,1,5,2480.0,6.211
北投區,34.3,3.0,3.0,2.0,0.0,0,5,5,1480.0,44.001
大安區,33.4,3.0,2.0,2.0,1.0,1,12,22,7500.0,5.99
北投區,36.7,2.0,2.0,1.0,0.0,0,2,7,1250.0,40.188
北投區,14.9,4.0,2.0,2.0,0.0,1,4,15,4680.0,7.17
大安區,33.5,4.0,2.0,2.0,0.0,0,2,7,4650.0,5.488
大安區,32.1,4.0,2.0,2.0,0.0,0,2,12,4380.0,7.076
大安區,32.7,2.0,2.0,1.0,0.0,0,9,12,2880.0,5.305
北投區,36.5,3.0,2.0,2.0,0.0,0,2,7,2388.0,40.188
大安區,49.7,2.0,2.0,1.0,0.0,0,3,4,1498.0,6.326
大安區,44.4,4.0,2.0,2.0,1.0,0,4,7,5552.0,5.084
大安區,31.7,1.0,2.0,2.0,1.0,0,4,12,3858.0,5.305
北投區,21.2,3.0,2.0,2.0,0.0,0,5,17,1998.0,17.618
北投區,26.8,3.0,2.0,2.0,0.0,0,5,7,2750.0,5.347
北投區,43.7,2.0,2.0,1.0,0.0,0,3,7,830.0,44.001
北投區,35.0,3.0,2.0,2.0,0.0,0,5,5,1350.0,5.377
北投區,9.0,2.0,2.0,2.0,0.0,1,3,5,4650.0,40.188
大安區,24.3,3.0,2.0,2.0,0.0,1,3,6,2498.0,8.759
大安區,8.2,1.0,2.0,2.0,1.0,1,5,6,3900.0,6.257
北投區,25.9,1.0,2.0,1.0,0.0,0,11,11,1380.0,24.797
大安區,44.7,3.0,0.0,3.0,0.0,0,3,4,2680.0,5.305
北投區,6.7,2.0,2.0,1.0,0.0,1,5,10,2430.0,44.001
北投區,13.8,2.0,2.0,2.0,0.0,1,5,7,2680.0,40.188
大安區,35.1,3.0,2.0,2.0,0.0,0,1,6,6890.0,4.108
大安區,50.6,1.0,2.0,2.0,0.0,0,1,6,9988.0,4.787
北投區,39.3,3.0,2.0,1.0,0.0,0,6,7,1488.0,148.535
大安區,12.2,1.0,0.0,0.0,0.0,1,1,11,7200.0,2.25
北投區,47.8,3.0,2.0,2.0,0.0,0,1,2,2300.0,17.618
北投區,5.3,1.0,1.0,1.0,0.0,0,6,7,1120.0,17.618
大安區,36.1,1.0,2.0,1.0,0.0,0,2,19,1688.0,6.29
大安區,47.9,4.0,2.0,2.0,0.0,0,2,7,6500.0,3.77
大安區,53.6,3.0,2.0,1.0,0.0,0,1,4,2988.0,5.787
大安區,43.7,3.0,2.0,2.0,0.0,0,5,7,3788.0,5.305
大安區,37.5,4.0,1.0,0.0,0.0,0,1,5,4250.0,6.793
大安區,32.0,3.0,2.0,1.5,1.5,0,8,17,2680.0,6.466
大安區,42.5,3.0,2.0,2.0,0.0,0,5,5,3398.0,4.787
北投區,42.8,3.0,1.0,1.0,0.0,0,4,5,1160.0,17.618
大安區,39.9,4.0,3.0,2.0,0.0,0,8,12,5888.0,6.085
大安區,46.0,3.0,1.0,1.0,0.0,0,4,4,3088.0,6.326
北投區,3.8,4.0,2.0,2.0,0.0,1,4,5,4280.0,84.617
大安區,35.5,3.0,2.0,2.0,0.0,0,26,26,7800.0,6.163
大安區,34.2,2.0,2.0,1.0,0.0,0,3,7,4880.0,5.084
大安區,40.8,1.0,1.0,1.0,0.0,0,5,7,1030.0,4.316
北投區,53.0,2.0,2.0,1.0,0.0,0,1,2,1080.0,14.72
大安區,34.1,3.0,2.0,2.0,0.0,0,2,14,4666.0,4.751
大安區,38.8,3.0,2.0,2.0,0.0,0,2,7,5680.0,4.876
大安區,25.8,2.0,2.0,2.0,0.0,1,3,5,6958.0,5.305
北投區,8.8,3.0,2.0,4.0,0.0,1,21,27,9900.0,1.407
